TANZANIA FIVE YEAR CROP PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTION,,,2018,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,
UNIT,Red Kuri,HECTARES,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,F,1.88,,,onions,onions,onions,onions,Moringa,Moringa,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Moringa,Moringa,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,Moringa,Moringa,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Moringa,Moringa,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans, , , 
,G,0.88,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,0.14,,,Pepper,Pepper,Pepper,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,B,0.50,,,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,C,0.85,,,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,D,1.20,,,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,E,1.55,,,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,,,
,F,1.88,,,Pepper,Pepper,Pepper,Gr. Manure,Gr. Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Moringa,Moringa,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,Moringa,Moringa,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Moringa,Moringa,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans, , , 
 ,G,0.88,,,Pepper,Pepper,Pepper,Gr. Manure,Gr. Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,alfalfa,alfalfa,onions,onions,onions,onions,Beans,Beans,Beans,onions,onions,onions,onions,alfalfa,alfalfa,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,alfalfa,alfalfa,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
